PassengerId,LR
0001_01,0.8497222260898606
0002_01,0.08476431726035463
0003_01,0.2855016824321199
0003_02,0.5676000500858742
0004_01,0.206687908560485
0005_01,0.304967487548566
0006_01,0.6285825979188364
0006_02,0.7968840588475589
0007_01,0.5142887018432036
0008_01,0.9377443505664997
0008_02,0.9264492415734614
0008_03,0.5811332117488024
0009_01,0.18596120749964803
0010_01,0.19666800084418554
0011_01,0.4555644501647289
0012_01,0.39840081829988105
0014_01,0.44448527564547097
0015_01,0.13547928123340178
0016_01,0.7231169628691212
0017_01,0.4907709376458667
0017_02,0.05072714431838702
0020_01,0.8244292279667175
0020_02,0.8488351019075266
0020_03,0.8485724955961055
0020_04,0.6682753694795014
0020_05,0.8488351019075266
0020_06,0.6687285848920388
0022_01,0.3058428800140761
0024_01,0.9526709984758521
0025_01,0.28866971569571853
0026_01,0.20016556673040292
0028_01,0.11204056948434132
0030_01,0.18951492411283377
0031_01,0.09267859430262375
0031_02,0.5191425941080282
0031_03,0.08547872326376302
0034_01,0.9546467932731902
0035_01,0.12412955041479118
0036_01,0.38578270241593493
0038_01,0.10773391004496569
0039_01,0.7319796854507743
0041_01,0.6954757464665056
0043_01,0.22600682951439885
0044_01,0.686679516247431
0044_02,0.7238191549545625
0044_03,0.7238191549545625
0045_01,0.11602463762072318
0045_02,0.7189731238339555
0050_01,0.10475188582591363
0051_01,0.1123927041544943
0052_01,0.07448403886904599
0053_01,0.7054285338985624
0056_01,0.9158336230505489
0056_02,0.9619185647610993
0056_03,0.7395036008749422
0058_01,0.8272667886589706
0061_01,0.31736294987971203
0062_01,0.39349333756542876
0064_01,0.817427897290013
0064_02,0.8366004177070632
0066_01,0.34753478946619054
0067_01,0.8212992139875196
0067_02,0.8128020340631787
0067_03,0.1974467724172276
0068_01,0.0947396573448263
0069_01,0.21400982436422714
0070_01,0.060619372862655715
0071_01,0.29435637311038654
0072_01,0.16233644271869285
0073_01,0.5540931088397408
0074_01,0.7630551896286061
0076_01,0.5069937653445764
0077_01,0.4674504519772242
0078_01,0.2727541315366889
0081_01,0.8001983306542814
0082_01,0.08685631462872463
0082_02,0.714374615686861
0082_03,0.5181214490243029
0084_01,0.13343403523277492
0085_01,0.9526709984758521
0086_01,0.011264629496559837
0088_01,0.8623135305640439
0090_01,0.8001983306542814
0091_01,0.7968840588475589
0091_02,0.5358499616676786
